source	target	frequency
CD274	CMTM6	0.01
CD274	PDCD1	0.01
CD276	IL20RA	0.01
CD28	CD80	0.01
CD28	CD86	0.01
CD28	ITK	0.01
CD28	PIK3R1	0.01
CD300A	IGSF5	0.01
CD300LB	FYN	0.01
CD300LB	HAVCR1	0.01
CD300LB	LRRC52	0.01
CD300LF	CD300LG	0.01
CD300LF	PTPN6	0.01
CD320	TCN1	0.01
CD320	TCN2	0.01
CD33	PTPN6	0.01
CD36	LY6H	0.01
CD36	NRN1	0.01
CD36	SCRG1	0.01
CD36	THBS1	0.01
CD38	PECAM1	0.01
CD3D	CD3E	0.01
CD3E	CD3G	0.01
CD3E	NCK1	0.01
CD4	CXCL12	0.01
CD4	HLA-DRB1	0.01
CD4	IL16	0.01
CD4	LCK	0.01
CD4	PIP	0.01
CD40	CD40LG	0.01
CD40	TRAF2	0.01
CD44	COL14A1	0.01
CD44	COL1A1	0.01
CD44	DMP1	0.01
CD44	HBEGF	0.01
CD44	LGALS9	0.01
CD44	MMP7	0.01
CD44	SIGLEC15	0.01
CD44	SPP1	0.01
CD44	VCAN	0.01
CD47	COL4A3	0.01
CD47	SCN1B	0.01
CD47	SIRPB2	0.01
CD48	IL18	0.01
CD5	CD5L	0.01
CD5	LCK	0.01
CD63	ENAM	0.01
CD63	TIMP1	0.01
CD69	LGALS1	0.01
CD7	LGALS1	0.01
CD7	SECTM1	0.01
CD70	TNFRSF17	0.01
CD72	SEMA4D	0.01
CD82	HBEGF	0.01
CD82	HLA-DRA	0.01
CD8A	HLA-A	0.01
CD9	HBEGF	0.01
CD9	IZUMO1	0.01
CD93	COL1A1	0.01
CD93	COL4A1	0.01
CD93	COL4A2	0.01
CD93	COL4A3	0.01
CD93	COL4A4	0.01
CD93	COL4A5	0.01
CD93	COL4A6	0.01
CD93	F12	0.01
CD93	KNG1	0.01
CD93	MMRN2	0.01
CD93	SFTPA2	0.01
CD96	PVR	0.01
CDC14A	TP53	0.01
CDC14B	KMT5A	0.01
CDC16	CDK1	0.01
CDC20	FBXO5	0.01
CDC20	MAD2L1	0.01
CDC20	MAD2L2	0.01
CDC25A	CHEK1	0.01
CDC25A	CHEK2	0.01
CDC25A	STK38	0.01
CDC25B	CHEK1	0.01
CDC25B	FOXM1	0.01
CDC25B	MELK	0.01
CDC25B	PEG3	0.01
CDC25C	CHEK1	0.01
CDC25C	PKN1	0.01
CDC27	CDK1	0.01
CDC34	CSNK2B	0.01
CDC37	PPP5C	0.01
CDC42	DOCK6	0.01
CDC42	DOCK8	0.01
CDC42	FGD3	0.01
CDC42	IQGAP1	0.01
CDC42	ITSN1	0.01
CDC42	MCF2	0.01
CDC42	OPHN1	0.01
CDC42	PLEKHG4	0.01
CDC42	PLEKHG4B	0.01
CDC42	SPATA13	0.01
CDC42BPA	LIMK2	0.01
CDC42BPA	MYL2	0.01
CDC42EP1	PRKACB	0.01
CDC45	TOPBP1	0.01
CDC6	CDK2	0.01
CDC7	DTD1	0.01
CDC7	MCM2	0.01
CDC7	MCM4	0.01
CDC7	MCM7	0.01
CDC73	CPSF3	0.01
CDC73	CTNNB1	0.01
CDCA3	WEE1	0.01
CDCA4	E2F1	0.01
CDCA8	TTK	0.01
CDCP1	EGFR	0.01
CDH1	CTNNA1	0.01
CDH1	CTNNA3	0.01
CDH1	CTNND1	0.01
CDH1	KLRG1	0.01
CDH1	PTPRM	0.01
CDH11	CTNNB1	0.01
CDH15	CTNNB1	0.01
CDH16	CTNNB1	0.01
CDH19	CTNNB1	0.01
CDH2	CDH4	0.01
CDH2	CTNND1	0.01
CDH22	CTNNB1	0.01
CDH24	CTNNB1	0.01
CDH3	CTNNB1	0.01
CDH6	CTNNB1	0.01
CDH8	CTNNB1	0.01
CDK1	CDK7	0.01
CDK1	CKAP2	0.01
CDK1	CKS1B	0.01
CDK1	DLGAP5	0.01
CDK1	ECT2	0.01
CDK1	EML3	0.01
CDK1	EPN1	0.01
CDK1	FANCG	0.01
CDK1	GADD45A	0.01
CDK1	GOLGA2	0.01
CDK1	H1-1	0.01
CDK1	HMGA2	0.01
CDK1	IREB2	0.01
CDK1	ISL1	0.01
CDK1	KIF11	0.01
CDK1	KIF20B	0.01
CDK1	KIF22	0.01
CDK1	KIFC1	0.01
CDK1	LBR	0.01
CDK1	MKI67	0.01
CDK1	MTHFR	0.01
CDK1	MYT1	0.01
CDK1	MYT1L	0.01
CDK1	NSFL1C	0.01
CDK1	NUP210	0.01
CDK1	NUP50	0.01
CDK1	PALM	0.01
CDK1	PAPOLA	0.01
CDK1	PCDH1	0.01
CDK1	PIK3C2A	0.01
CDK1	PIK3C3	0.01
CDK1	PITPNM1	0.01
CDK1	PLEC	0.01
CDK1	PPP1R13L	0.01
CDK1	PRPS1	0.01
CDK1	PTTG2	0.01
CDK1	RAP1GAP	0.01
CDK1	RPS3	0.01
CDK1	SAMHD1	0.01
CDK1	SKA3	0.01
CDK1	SLBP	0.01
CDK1	SPAG5	0.01
CDK1	SSBP4	0.01
CDK1	SYN3	0.01
CDK1	TEX14	0.01
CDK1	TFCP2L1	0.01
CDK1	TK1	0.01
CDK1	TSC1	0.01
CDK1	UBA1	0.01
CDK1	USP16	0.01
CDK1	WAC	0.01
CDK1	WEE2	0.01
CDK11A	EIF3F	0.01
CDK11A	GADD45B	0.01
CDK11A	GADD45G	0.01
CDK11A	SPDEF	0.01
CDK11B	EIF3F	0.01
CDK12	POLR2A	0.01
CDK13	CHEK1	0.01
CDK13	SERINC5	0.01
CDK16	CDK5	0.01
CDK18	PRKACA	0.01
CDK2	CDK20	0.01
CDK2	CDKN3	0.01
CDK2	CDT1	0.01
CDK2	CROCC	0.01
CDK2	FOXK2	0.01
CDK2	H1-1	0.01
CDK2	HIRA	0.01
CDK2	JPH1	0.01
CDK2	KLF10	0.01
CDK2	MCM3AP	0.01
CDK2	NPAT	0.01
CDK2	NR1I2	0.01
CDK2	ORC1	0.01
CDK2	ORC2	0.01
CDK2	POLA1	0.01
CDK2	PRKAR1A	0.01
CDK2	PTHLH	0.01
CDK2	RBBP8	0.01
CDK2	RPL12	0.01
CDK2	RRM2	0.01
CDK2	SCML2	0.01
CDK2	SLCO4A1	0.01
CDK2	SOX11	0.01
CDK2	SPDYA	0.01
CDK2	SYNPO	0.01
CDK2	TFCP2	0.01
CDK2	UBE2A	0.01
CDK2	USP37	0.01
CDK2	ZHX3	0.01
CDK20	CILK1	0.01
CDK2AP1	IKBKE	0.01
CDK3	ESR1	0.01
CDK4	GATA4	0.01
CDK5	DBN1	0.01
CDK5	DCX	0.01
CDK5	EFHD2	0.01
CDK5	PHACTR3	0.01
CDK5	PPP1R1B	0.01
CDK5	RASGRF2	0.01
CDK5	STMN3	0.01
CDK5	STXBP2	0.01
CDK5	TPPP	0.01
CDK5	XDH	0.01
CDK5RAP2	CEP68	0.01
CDK5RAP3	CHEK1	0.01
CDK6	CDK7	0.01
CDK6	CDKN1A	0.01
CDK6	CDKN2C	0.01
CDK6	CDKN2D	0.01
CDK6	PKM	0.01
CDK6	RUNX1	0.01
CDK7	LASP1	0.01
CDK7	MCM2	0.01
CDK7	RARA	0.01
CDK8	MED13	0.01
CDK8	STAT1	0.01
CDK9	POLR2A	0.01
CDK9	SUPT5H	0.01
CDKL1	CDKN2B	0.01
CDKL5	LRRC4C	0.01
CDKL5	SOX9	0.01
CDKN1A	DAPK3	0.01
CDKN1A	DYRK1B	0.01
CDKN1A	GFI1B	0.01
CDKN1A	PIM1	0.01
CDKN1A	SP1	0.01
CDKN1B	CUL1	0.01
CDKN1B	FOXO1	0.01
CDKN1B	YWHAE	0.01
CDKN2A	E2F1	0.01
CDKN2A	NPM1	0.01
CDKN2A	PSMC3	0.01
CDKN2B	FOXO1	0.01
CDKN2D	FOXO1	0.01
CDON	DHH	0.01
CDR2	MYC	0.01
CDT1	E2F4	0.01
CDT1	PCNA	0.01
CDYL	EHMT2	0.01
CEACAM1	CEACAM8	0.01
CEACAM16	TECTA	0.01
CEACAM16	TECTB	0.01
CEACAM4	FLT4	0.01
CEACAM6	CEACAM8	0.01
CEACAM8	TECTB	0.01
CEBPA	LTF	0.01
CEBPA	SPI1	0.01
CEBPB	GSK3B	0.01
CEBPB	LBP	0.01
CEBPD	GSK3B	0.01
CEBPE	RARA	0.01
CEL	CXCR4	0.01
CELSR1	PSAP	0.01
CENPA	DIAPH3	0.01
CENPA	HJURP	0.01
CENPB	FOXM1	0.01
CENPF	FOXM1	0.01
CENPK	SOX6	0.01
CENPU	PLK1	0.01
CEP131	MAPKAPK2	0.01
CEP131	PLK4	0.01
CEP55	MAPK1	0.01
CEP55	PLK1	0.01
CEP68	PLK1	0.01
CERS5	CSNK2A1	0.01
CFB	CFD	0.01
CFB	CFH	0.01
CFH	PTX3	0.01
CFL1	LIMK1	0.01
CFL1	NRK	0.01
CFL1	SSH3	0.01
CFL1	TESK1	0.01
CFL2	LIMK1	0.01
CFTR	GOPC	0.01
CFTR	PRKG1	0.01
CGA	LHCGR	0.01
CGA	LHX4	0.01
CGB7	LHCGR	0.01
CH25H	FOXL2	0.01
CHAD	ITGA2	0.01
CHAMP1	MAD2L2	0.01
CHAT	PRKCA	0.01
CHD1L	PARP1	0.01
CHD3	TRIM28	0.01
CHD8	CTNNB1	0.01
CHEK1	CLSPN	0.01
CHEK1	CSNK2B	0.01
CHEK1	FANCD2	0.01
CHEK1	FANCE	0.01
CHEK1	H3C3	0.01
CHEK1	HCK	0.01
CHEK1	OGT	0.01
CHEK1	SETMAR	0.01
CHEK1	TIMELESS	0.01
CHEK1	TP73	0.01
CHEK2	E2F1	0.01
CHEK2	EXO1	0.01
CHEK2	KPNA2	0.01
CHEK2	PLK3	0.01
CHEK2	TRIM28	0.01
CHEK2	TTK	0.01
CHEK2	XRCC1	0.01
CHGA	CSNK2A2	0.01
CHIA	STAT6	0.01
CHKA	CTNNB1	0.01
CHKA	PLIN2	0.01
CHKB	PRKACA	0.01
CHRD	HHEX	0.01
CHRM1	GNAI2	0.01
CHRM3	GZMB	0.01
CHRNA1	KDM1A	0.01
CHRNA3	SLURP2	0.01
CHRNA4	SLURP2	0.01
CHRNA7	SLURP2	0.01
CHRNA7	SRC	0.01
CHRNB2	SLURP2	0.01
CHRNB4	SLURP2	0.01
CHUK	ERC1	0.01
CHUK	FOXA2	0.01
CHUK	MTURN	0.01
CHUK	NFKB2	0.01
CIDEC	PPARA	0.01
CIP2A	PLK1	0.01
CISH	EPOR	0.01
CIT	MYL9	0.01
CITED1	RELA	0.01
CITED2	MAPK1	0.01
CKS2	HINFP	0.01
CLASP2	CLIP2	0.01
CLASP2	GSK3B	0.01
CLCF1	CNTFR	0.01
CLCF1	CRLF1	0.01
CLCF1	LIFR	0.01
CLDN1	TJP1	0.01
CLDN11	TSPAN3	0.01
CLDN11	TSPAN33	0.01
CLDN14	CLDN16	0.01
CLDN16	CLDN19	0.01
CLDN16	TRPV5	0.01
CLDN19	CLDN9	0.01
CLDN2	KRTAP4-12	0.01
CLDN3	PRKACA	0.01
CLDN4	SHBG	0.01
CLDN7	TACSTD2	0.01
CLDN8	TJP1	0.01
CLEC11A	ITGA10	0.01
CLEC12A	PTPN6	0.01
CLEC14A	MMRN2	0.01
CLEC1B	PDPN	0.01
CLEC4M	ICAM3	0.01
CLEC7A	STAT6	0.01
CLIP1	HLA-DMA	0.01
CLIP1	HLA-DMB	0.01
CLIP1	PAFAH1B1	0.01
CLK1	PTPN1	0.01
CLK1	SRSF1	0.01
CLK2	PTPN1	0.01
CLK3	SRSF1	0.01
CLK3	USP13	0.01
CLMN	PRKG1	0.01
CLSPN	PI4K2A	0.01
CLSTN2	NRXN2	0.01
CLTB	CSNK2A2	0.01
CLTC	PICALM	0.01
CLTC	SRC	0.01
CLTCL1	PICALM	0.01
CLU	LRP2	0.01
CLUL1	GPR55	0.01
CMA1	EDN3	0.01
CMKLR1	RARRES2	0.01
CNKSR1	RAF1	0.01
CNMD	PTPRD	0.01
CNN1	FYN	0.01
CNN3	FYN	0.01
CNR2	DAGLA	0.01
CNR2	GNAI1	0.01
CNTN1	CNTN2	0.01
CNTN1	L1CAM	0.01
CNTN1	PCDHB7	0.01
CNTN1	TNR	0.01
CNTN2	CNTNAP2	0.01
CNTN2	NRCAM	0.01
CNTN3	PTPRG	0.01
CNTN4	PTPRG	0.01
CNTN5	PTPRG	0.01
CNTNAP1	RTN4	0.01
COL10A1	ITGA2_ITGB1	0.01
COL11A1	DDR1	0.01
COL13A1	FN1	0.01
COL15A1	ITGA2_ITGB1	0.01
COL17A1	ITGA2_ITGB1	0.01
COL19A1	ITGA2_ITGB1	0.01
COL1A1	DDR1	0.01
COL1A1	DDR2	0.01
COL1A1	GP6	0.01
COL1A1	ITGA11	0.01
COL1A1	ITGA11_ITGB1	0.01
COL1A1	ITGA2	0.01
COL1A1	ITGA2_ITGB1	0.01
COL1A1	LAIR1	0.01
COL1A1	TMPRSS6	0.01
COL1A2	ITGA2	0.01
COL1A2	OSCAR	0.01
COL21A1	ITGA2_ITGB1	0.01
COL22A1	ITGA2_ITGB1	0.01
COL26A1	ITGA11_ITGB1	0.01
COL27A1	ITGA2_ITGB1	0.01
COL28A1	ITGA2_ITGB1	0.01
COL2A1	DDR1	0.01
COL2A1	ITGA10	0.01
COL2A1	ITGA2B	0.01
COL3A1	DDR1	0.01
COL4A4	PXDN	0.01
COL5A1	SDC3	0.01
COL5A2	DDR1	0.01
COL5A3	SDC3	0.01
COL6A1	ITGA2_ITGB1	0.01
COL6A5	ITGA2_ITGB1	0.01
COL6A6	ITGA2_ITGB1	0.01
COL7A1	ITGA2_ITGB1	0.01
COL8A1	ITGA1	0.01
COL8A1	ITGA2	0.01
COL8A2	ITGA2_ITGB1	0.01
COL9A2	MAG	0.01
COL9A3	MAG	0.01
COLEC11	MASP1	0.01
COLEC12	LAIR1	0.01
COMP	ITGB3	0.01
COPS3	MLF1	0.01
COPS3	SOS1	0.01
CORO1B	PRKCA	0.01
CORO1C	CSNK2A1	0.01
CORO7	SRC	0.01
CORT	GHSR	0.01
CORT	SSTR2	0.01
CP	SHH	0.01
CP	SLC40A1	0.01
CPAMD8	SCTR	0.01
CPEB3	NEURL1	0.01
CPM	EGF	0.01
CPNE3	ERBB2	0.01
CR2	FCER2	0.01
CRABP1	ZBTB16	0.01
CRABP2	RARA	0.01
CRBN	FBXO7	0.01
CRBN	IKZF3	0.01
CRBN	SALL4	0.01
CREB1	DYRK3	0.01
CREB1	FST	0.01
CREB1	LDHC	0.01
CREB1	RPS6KA2	0.01
CREB1	SGK2	0.01
CREB1	SGK3	0.01
CREB1	TSSK4	0.01
CREBBP	JUN	0.01
CREBBP	MYBL1	0.01
CREM	FHL5	0.01
CREM	KCNIP3	0.01
CRH	CRHR1	0.01
CRHR1	UCN	0.01
CRHR2	UCN	0.01
CRHR2	UCN2	0.01
CRIP2	PRKG1	0.01
CRK	DOCK1	0.01
CRK	DOK4	0.01
CRK	PDGFRA	0.01
CRLF2	TSLP	0.01
CRTC1	SIK1	0.01
CRTC2	PRKAA1_PRKAA2_PRKAB1_PRKAB2_PRKAG1_PRKAG2_PRKAG3	0.01
CRTC2	SIK1	0.01
CRTC2	SIK2	0.01
CRTC2	SIK3	0.01
CRY2	FBXL17	0.01
CRY2	FBXL3	0.01
CRYAB	MAPK14	0.01
CSF1	CSF1R	0.01
CSF1	CSF2RA	0.01
CSF2	CSF2RA	0.01
CSF2	CSF3R	0.01
CSF2	IL3RA	0.01
CSF2	SDC2	0.01
CSF3	CSF3R	0.01
CSNK1A1	FAM83B	0.01
CSNK1A1	FAM83D	0.01
CSNK1A1	FAM83G	0.01
CSNK1A1	FAM83H	0.01
CSNK1A1	HNRNPC	0.01
CSNK1A1	LGALS3	0.01
CSNK1A1	RHOB	0.01
CSNK1A1	SLC18A2	0.01
CSNK1A1	SNCA	0.01
CSNK1A1	TP53TG5	0.01
CSNK1A1	ZRANB1	0.01
CSNK1A1L	TP53	0.01
CSNK1D	LZTS2	0.01
CSNK1D	PER2	0.01
CSNK1E	DVL1	0.01
CSNK1E	FAM83A	0.01
CSNK1E	PER2	0.01
CSNK1G1	LRP6	0.01
CSNK1G1	NFATC1	0.01
CSNK1G1	NFATC3	0.01
CSNK1G2	DCLK1	0.01
CSNK1G2	NFATC3	0.01
CSNK2A1	EEF1B2	0.01
CSNK2A1	EIF2S2	0.01
CSNK2A1	FKBP4	0.01
CSNK2A1	FOSB	0.01
CSNK2A1	GGA1	0.01
CSNK2A1	HES6	0.01
CSNK2A1	HMGA1	0.01
CSNK2A1	HMOX2	0.01
CSNK2A1	HNRNPC	0.01
CSNK2A1	IFI16	0.01
CSNK2A1	IGFBP3	0.01
CSNK2A1	IP6K2	0.01
CSNK2A1	LIG1	0.01
CSNK2A1	MUS81	0.01
CSNK2A1	MYH9	0.01
CSNK2A1	NCAPH	0.01
CSNK2A1	NKX2-5	0.01
CSNK2A1	PACS1	0.01
CSNK2A1	PDCD5	0.01
CSNK2A1	PIN4	0.01
CSNK2A1	PSMA3	0.01
CSNK2A1	RNPS1	0.01
CSNK2A1	SAT1	0.01
CSNK2A1	SEC63	0.01
CSNK2A1	SERPINF1	0.01
CSNK2A1	SPIB	0.01
CSNK2A1	SPTBN1	0.01
CSNK2A1	SRF	0.01
CSNK2A1	STARD10	0.01
CSNK2A1	STC2	0.01
CSNK2A1	STX1A	0.01
CSNK2A1	TCOF1	0.01
CSNK2A1	TYMS	0.01
CSNK2A1	UBE2R2	0.01
CSNK2A1	VAMP4	0.01
CSNK2A1	XK	0.01
CSNK2A2	EIF4EBP1	0.01
CSNK2A2	MS4A1	0.01
CSNK2A2	STX1A	0.01
CSNK2A3	F8	0.01
CSNK2B	EIF5	0.01
CSNK2B	HOXB6	0.01
CSNK2B	NCF1	0.01
CTBP1	HIPK2	0.01
CTBP1	MAPK8	0.01
CTBP1	TBL1Y	0.01
CTBP1	ZEB2	0.01
CTF1	LIFR	0.01
CTH	PRKG2	0.01
CTHRC1	FZD6	0.01
CTNNB1	FOXO3B	0.01
CTNNB1	LEF1	0.01
CTNNB1	NKD1	0.01
CTNNB1	PTPRU	0.01
CTNNB1	SOX17	0.01
CTNNB1	TBL1X	0.01
CTNNB1	TCF4	0.01
CTNNB1	TCF7	0.01
CTNNB1	TCF7L2	0.01
CTNND1	PTPRJ	0.01
CTPS1	GSK3B	0.01
CTSB	REN	0.01
CTTN	CTTNBP2	0.01
CTTN	FER	0.01
CTTN	HDAC6	0.01
CTTN	PTK2B	0.01
CTTNBP2NL	STRN	0.01
CUBN	LRP2	0.01
CUL1_FBXW7_RBX1_SKP1	MYC	0.01
CUL1_RBX1_SKP1	FBXL5	0.01
CUL1_RBX1_SKP1	FBXO15	0.01
CUL1_RBX1_SKP1	FBXO2	0.01
CUL1_RBX1_SKP1	FBXO6	0.01
CUL1	RBX1	0.01
CUL3_RBX1_SKP1	KLHL25	0.01
CUL3_RBX1_SKP1	KLHL8	0.01
CUL3_RBX1_SKP1	RHOBTB3	0.01
CUL3	KCTD10	0.01
CUL3	KCTD13	0.01
CUL3	KEAP1	0.01
CUL3	TNFAIP1	0.01
CUL4A	NEDD8	0.01
CUL5	PRKACA	0.01
CUX2	OGG1	0.01
CX3CL1	CX3CR1	0.01
CXCL1	CXCR1	0.01
CXCL12	CXCR4	0.01
CXCL13	CXCR3	0.01
CXCL14	CXCR4	0.01
CXCL14	GPR85	0.01
CXCL16	CXCR6	0.01
CXCL17	GPR35	0.01
CXCL2	CXCR1	0.01
CXCL2	XCR1	0.01
CXCL5	CXCR1	0.01
CXCL5	MMP9	0.01
CXCL8	SDC2	0.01
CXCR1	GNAI2	0.01
CXCR4	TFF2	0.01
CXXC4	DVL1	0.01
CXXC5	DVL1	0.01
CYBA	NCF1	0.01
CYBB	SPI1	0.01
CYLD	IKBKE	0.01
CYP17A1	PBX1	0.01
CYP19A1	SRC	0.01
CYP26A1	RARA	0.01
CYP3A4	PRKCA	0.01
CYP8B1	HNF4A	0.01
CYSLTR2	DPEP1	0.01
CYSLTR2	GNA14	0.01
CYTH2	PRKCA	0.01
DAAM1	DVL1	0.01
DAB1	SRC	0.01
DAB2	DVL3	0.01
DAB2	PPP1R2	0.01
DACH1	SIX1	0.01
DACH2	SIX1	0.01
DACT1	DVL2	0.01
DACT2	TGFBR1	0.01
DAGLA	GPR55	0.01
DAP3	PRKCD	0.01
DAPK1	MCM3	0.01
DAPK1	PIN1	0.01
DAPK1	UNC5B	0.01
DAPK2	KLF6	0.01
DAPK2	RPTOR	0.01
DAPK3	MYL9	0.01
DAPK3	RPL13A	0.01
DAXX	HIPK1	0.01
DAXX	UBE2I	0.01
DAZAP1	MAPK1	0.01
DAZL	MAPKAPK2	0.01
DBNL	ZAP70	0.01
DBP	JAK3	0.01
DCAF1	NF2	0.01
DCAF15	RBM39	0.01
DCBLD2	SEMA4B	0.01
DCC	DRAXIN	0.01
DCC	IGFBPL1	0.01
DCC	MYO10	0.01
DCC	NTN1	0.01
DCHS1	FAT4	0.01
DCLK1	MACC1	0.01
DCLK3	RAMP1	0.01
DCN	TGFB1	0.01
DCP1A	MAPK8	0.01
DCT	SOX10	0.01
DDAH2	TBK1	0.01
DDB2	E2F1	0.01
DDC_SLC18A2	DRD2	0.01
DDC_SLC18A2	DRD4	0.01
DDIT4	GSK3B	0.01
DDR1	TM4SF1	0.01
DDX17	ESR1	0.01
DDX25	PRKACA	0.01
DDX3X	EIF4E	0.01
DDX3X	PABPC1	0.01
DEK	SPOP	0.01
DEPTOR	MTOR	0.01
DERL1	VCP	0.01
DGKA	SRC	0.01
DGKZ	PRKCA	0.01
DGUOK	PRKCA	0.01
DHH	HHIP	0.01
DHH	PTCH1	0.01
DHPS	EIF5A	0.01
DHPS	MAPK3	0.01
DHX58	RIGI	0.01
DICER1	TARBP2	0.01
DISC1	NDEL1	0.01
DISP3	SHH	0.01
DKK1	KREMEN1	0.01
DKK1	KREMEN2	0.01
DKK1	LRP6	0.01
DLD	RIPK3	0.01
DLG1	MAPK12	0.01
DLG1	PBK	0.01
DLG3	GDA	0.01
DLG3	GRIN2A	0.01
DLG4	DLGAP1	0.01
DLG4	DLGAP2	0.01
DLG4	DLGAP3	0.01
DLG4	DLGAP4	0.01
DLG4	GRIN2A	0.01
DLG4	GRIN2B	0.01
DLG4	LRFN1	0.01
DLG4	LRRC4	0.01
DLG4	MAP1A	0.01
DLG4	NLGN1	0.01
DLG4	TANC1	0.01
DLGAP1	SHANK2	0.01
DLK2	NOTCH1	0.01
DLL1	NOTCH3	0.01
DLL1	TNFRSF8	0.01
DLL4	NOTCH2	0.01
DLL4	NOTCH3	0.01
DLL4	NOTCH4	0.01
DLL4	SYNJ2BP	0.01
DLX2	MSX1	0.01
DLX2	MSX2	0.01
DLX3	PRKCA	0.01
DLX5	MSX2	0.01
DMPK	PPP1R12A	0.01
DMTN	PRKACA	0.01
DNAJB1	HSF1	0.01
DNAJB11	PRTG	0.01
DNAJC3	EIF2AK2	0.01
DNER	NOTCH1	0.01
DNM1	SNX9	0.01
DNM1	SRC	0.01
DNM2	GJB2	0.01
DNM2	SNX9	0.01
DNMT1	HELLS	0.01
DNMT1	PCNA	0.01
DNMT1	UHRF1	0.01
DNMT3B	EHMT2	0.01
DOC2B	PRKCI	0.01
DOCK1	RAC1	0.01
DOCK7	ERBB2	0.01
DOCK7	NBEAL2	0.01
DOK1	INSR	0.01
DOK1	ITGB7	0.01
DOK1	RET	0.01
DOK1	TEC	0.01
DOK2	HCK	0.01
DOK5	INSR	0.01
DOK6	RET	0.01
DOK7	MUSK	0.01
DPP3	KEAP1	0.01
DPP4	GIP	0.01
DPP4	HNF1B	0.01
DPP6	KCND2	0.01
DPYSL3	DYRK2	0.01
DRD1	GNAS	0.01
DRD2	FLNA	0.01
DRD2	NCS1	0.01
DRD2	TSPAN7	0.01
DSC1	DSG3	0.01
DSC2	DSG2	0.01
DSC3	DSG2	0.01
DSC3	DSG3	0.01
DSCAM	NTN1	0.01
DSCAM	PSG6	0.01
DSCAM	PSG9	0.01
DSP	PKP2	0.01
DSP	PRKACA	0.01
DSTN	LIMK2	0.01
DTL	KMT5A	0.01
DTL	PCNA	0.01
DUSP1	MAPK14	0.01
DUSP19	MAPK8	0.01
DUSP23	MAPK3	0.01
DUSP26	TP53	0.01
DUSP4	MAPK1	0.01
DUSP5	MAPK3	0.01
DUSP6	MAPK3	0.01
DUSP7	GHR	0.01
DUSP8	MAPK8	0.01
DUSP9	MAPK14	0.01
DVL1	HECW1	0.01
DVL1	INVS	0.01
DVL1	PI4K2B	0.01
DVL1	SDC4	0.01
DVL3	LRRFIP2	0.01
DYNC1I1	RPS6KA3	0.01
DYNLL1	PAK1	0.01
DYNLRB1	PRKACA	0.01
DYRK1A	FOXO1	0.01
DYRK1B	NKX3-1	0.01
DYRK1B	RANBP9	0.01
DYRK2	GLI2	0.01
DYRK2	PSMC4	0.01
E2F1	GTF2H1	0.01
E2F1	KAT2A	0.01
E2F1	MIR17HG	0.01
E2F1	TFDP1	0.01
E2F1	TOPBP1	0.01
E2F2	TFDP1	0.01
E2F4	RBL2	0.01
E2F7	E2F8	0.01
E2F7	SP1	0.01
E4F1	TP53	0.01
EBAG9	ESR1	0.01
EBI3	IL27RA	0.01
EBI3	IL6ST	0.01
ECE1	EDN1	0.01
ECM1	ITGB4	0.01
ECSIT	TRAF6	0.01
EDA	EDA2R	0.01
EDA	FURIN	0.01
EDIL3	ITGAV	0.01
EDN1	EDNRA	0.01
EDN2	EDNRA	0.01
EDN3	EDNRA	0.01
EDN3	KEL	0.01
EDNRA	GNAI2	0.01
EEF1A1	PASK	0.01
EEF1A1	PRKCD	0.01
EFEMP1	EGFR	0.01
EFEMP2	ELN	0.01
EFEMP2	LINGO1	0.01
EFEMP2	LOX	0.01
EFEMP2	PLSCR4	0.01
EFHD1	HNF4A	0.01
EFNA2	EPHA2	0.01
EFNA2	EPHA7	0.01
EFNA3	EPHA10	0.01
EFNA3	EPHA3	0.01
EFNA3	EPHA5	0.01
EFNA4	EPHA5	0.01
EFNA4	EPHA6	0.01
EFNA4	EPHA7	0.01
EFNA5	EPHA2	0.01
EFNA5	EPHA4	0.01
EFNB1	EPHB1	0.01
EFNB1	EPHB2	0.01
EFNB1	EPHB4	0.01
EFNB1	NAALAD2	0.01
EFNB1	SLAMF9	0.01
EFNB1	TRHDE	0.01
EFNB2	EPHA3	0.01
EFNB2	EPHB3	0.01
EFNB2	EPHB4	0.01
EFNB2	EPHB6	0.01
EFNB2	FCRL1	0.01
EFNB2	GRM1	0.01
EFNB2	RHBDL2	0.01
EFNB3	EPHB3	0.01
EFS	SRC	0.01
EGF	ERBB3	0.01
EGFL7	NOTCH2	0.01
EGFR	EPB41	0.01
EGFR	EPS8	0.01
EGFR	GALNT8	0.01
EGFR	HGS	0.01
EGFR	KCND3	0.01
EGFR	KCNN1	0.01
EGFR	NIBAN2	0.01
EGFR	PIK3C2B	0.01
EGFR	PTPRK	0.01
EGFR	RGS16	0.01
EGFR	SCAMP3	0.01
EGFR	SHC3	0.01
EGFR	ST6GAL1	0.01
EGFR	STAM2	0.01
EGFR	TRIP13	0.01
EGLN1	OS9	0.01
EGLN3	HIF1A	0.01
EGLN3	OS9	0.01
EGR1	NAB2	0.01
EGR1	TP53	0.01
EGR2	SOX10	0.01
EHMT2	H3C3	0.01
EHMT2	KLF12	0.01
EIF2AK2	NFKBIA	0.01
EIF2AK2	PRKRA	0.01
EIF2AK3	EIF2S1	0.01
EIF2AK3	HSPA5	0.01
EIF2AK3	NFE2L2	0.01
EIF2AK3	SLC7A1	0.01
EIF2B2	EIF2S1	0.01
EIF2B3	EIF2S1	0.01
EIF2B4	EIF2S1	0.01
