gene	expr_score	expr_direction	prom_score	prom_direction	body_score	body_direction	concordance	prize
AL589765.6	0.835155202639992	1	NA	NA	NA	NA	0	0.835155202639992
AC097504.2	0.835103640301124	-1	NA	NA	NA	NA	0	0.835103640301124
FEM1AP2	0.835052077962256	1	NA	NA	NA	NA	0	0.835052077962256
TMSB4X	0.835000515623389	1	NA	NA	NA	NA	0	0.835000515623389
ADGRD1-AS1	0.834948953284521	-1	NA	NA	NA	NA	0	0.834948953284521
ZNF209P	0.834897390945653	-1	NA	NA	NA	NA	0	0.834897390945653
TRPV3	0.834845828606786	1	NA	NA	NA	NA	0	0.834845828606786
AL035685.1	0.834794266267918	-1	NA	NA	NA	NA	0	0.834794266267918
TNFSF11	0.83474270392905	1	NA	NA	NA	NA	0	0.83474270392905
STARD13-AS	0.834691141590183	-1	NA	NA	NA	NA	0	0.834691141590183
DCTN1-AS1	0.834639579251315	1	NA	NA	NA	NA	0	0.834639579251315
MORC2-AS1	0.834588016912447	-1	NA	NA	NA	NA	0	0.834588016912447
RTN4R	0.83453645457358	1	NA	NA	NA	NA	0	0.83453645457358
LINC02785	0.834484892234712	1	NA	NA	NA	NA	0	0.834484892234712
AC119424.1	0.834433329895844	-1	NA	NA	NA	NA	0	0.834433329895844
UBE2C	0.834381767556976	1	NA	NA	NA	NA	0	0.834381767556976
AC021106.2	0.834330205218109	-1	NA	NA	NA	NA	0	0.834330205218109
LINC01858	0.834278642879241	1	NA	NA	NA	NA	0	0.834278642879241
AC243960.3	0.834227080540373	-1	NA	NA	NA	NA	0	0.834227080540373
VPREB3	0.834175518201506	-1	NA	NA	NA	NA	0	0.834175518201506
GLP1R	0.834123955862638	1	NA	NA	NA	NA	0	0.834123955862638
TMSB10	0.83407239352377	1	NA	NA	NA	NA	0	0.83407239352377
ELOA2	0.834020831184903	-1	NA	NA	NA	NA	0	0.834020831184903
AC117488.1	0.833969268846035	-1	NA	NA	NA	NA	0	0.833969268846035
TMC8	0.833917706507167	1	NA	NA	NA	NA	0	0.833917706507167
SREBF1	0.8338661441683	1	NA	NA	NA	NA	0	0.8338661441683
LINC00626	0.833814581829432	-1	NA	NA	NA	NA	0	0.833814581829432
HSD17B6	0.833763019490564	-1	NA	NA	NA	NA	0	0.833763019490564
OOEP	0.833711457151696	-1	NA	NA	NA	NA	0	0.833711457151696
LINC01224	0.833659894812829	1	NA	NA	NA	NA	0	0.833659894812829
OR7E11P	0.833608332473961	1	NA	NA	NA	NA	0	0.833608332473961
AC022784.6	0.833556770135093	1	NA	NA	NA	NA	0	0.833556770135093
GTF2IP7	0.833505207796226	-1	NA	NA	NA	NA	0	0.833505207796226
AC087385.1	0.833453645457358	-1	NA	NA	NA	NA	0	0.833453645457358
TPH2	0.83340208311849	-1	NA	NA	NA	NA	0	0.83340208311849
AC124242.2	0.833350520779623	-1	NA	NA	NA	NA	0	0.833350520779623
AC079949.2	0.833298958440755	-1	NA	NA	NA	NA	0	0.833298958440755
