gene	log2FC	padj	AveExpr	t
ARHGAP36	7.9945780406093	2.43550289282026e-20	0.686913878667054	15.2218143967758
SLC22A31	7.30302067388197	1.33823330967345e-24	1.09744388122536	19.326909083474
GABRB2	7.07928181543701	1.75514806482008e-26	2.11600324505562	21.9089349035183
ZCCHC12	7.02108916709153	3.74215693220131e-25	4.37702643631828	20.0472729063286
DCSTAMP	6.90520972706281	1.51690857057464e-18	1.71406261743794	13.7367169480952
TMPRSS6	6.87188952000042	6.94209108097357e-21	1.03568029484347	15.6750444123431
SYT12	6.85958142097524	4.32310930975223e-21	1.42274220440659	15.8511748550315
LRRC52-AS1	6.85291501973843	1.40509348962596e-21	-0.734629366718429	16.287579277492
LINC02555	6.36546973892115	1.92553653917978e-20	-0.82030418029201	15.3010282375145
TMPRSS4	6.36071563707303	1.1495528810364e-21	1.81421180059362	16.3599584739143
LIPH	6.2689222497472	3.84580753970628e-25	2.26215366255268	19.9671103682993
MUC21	6.26379619257117	1.49683094029375e-18	-1.25644255899895	13.7415078598672
LINC02471	6.24444645083059	3.71162225301193e-22	0.0039134149087662	16.8156589774325
HMGA2	6.05922378008787	3.84580753970628e-25	1.82874291520037	19.9306391252286
KLK7	6.04588019291965	1.32903168630911e-19	0.766831725259661	14.6034464153752
KLK10	5.9953353176156	7.00928643990049e-20	1.38585483359494	14.8344607855294
B3GNT3	5.95501759321537	8.7751048446797e-22	1.3039329520197	16.4715851782361
PRR15	5.93177529958158	4.95560576237194e-25	2.8448383256517	19.7871252101711
KLK11	5.92670896796285	7.41925509928552e-16	-1.12819521677891	11.714205929115
ADCY8	5.88414699017536	1.89557373895806e-16	-2.17746384032212	12.1376305939733
AP002358.1	5.8481747457972	2.46218100581277e-19	-1.92527619773775	14.376219293352
CLDN10	5.84666604836146	3.48543707454555e-18	-0.638882861936042	13.4385064365761
PNPLA5	5.83191008859376	1.28557568624493e-18	-3.32435092412912	13.7997526266707
SLC25A47P1	5.82783066153554	1.38310324499473e-19	-3.29261054687039	14.5884158729179
SLC5A5	-5.82697034067197	2.11784406669154e-17	1.89456506975198	-12.8365465057319
IVL	5.75342625168391	9.4684896340074e-17	-2.73385520178856	12.3595724402913
DMBX1	5.74696827360007	1.8284054524641e-18	-3.00534888682972	13.6647488190226
RXRG	5.73592357744797	1.26454032253108e-23	2.94266675770382	18.1875060746027
SYTL5	5.69809751609986	4.15007568496419e-23	0.705337961217234	17.6542375286961
TMEM92	5.67088659306656	1.05448805132027e-17	-2.04531417537182	13.0663104656386
CST2	5.65197175877111	1.01639037944675e-12	-2.87792093942468	9.57752603834535
TFF3	-5.64855511006853	1.10175409697871e-19	6.52342446986654	-14.6804259366733
ZNF804B	-5.63534674042031	2.25083505525128e-16	0.566569908706714	-12.0847472686077
THCAT155	5.61863962195871	2.04514270248893e-13	-3.56667770571333	10.0369640079355
SLIT1	5.60996027515327	4.10194580404727e-21	2.12005814702462	15.8719672063718
