id	filename	md5	size	state
dab7c32b-af18-44d3-84c4-4c4fd8930715	dab7c32b-af18-44d3-84c4-4c4fd8930715/e4c09ecd-d6c3-4ebe-b87a-f55c4dfdacb1.methylation_array.sesame.level3betas.txt	1bf9b6d3c4e98ed24224ee42c42ac263	13193596	validated
cb6a2323-553d-4263-93ed-993f1db034d4	cb6a2323-553d-4263-93ed-993f1db034d4/907476c7-ac68-4d49-bb04-ae8abb549a27.methylation_array.sesame.level3betas.txt	5ed0252a061cb70d72f915993d57d966	13199134	validated
aabd9eff-bb1d-4784-8e8e-a752a68ec05d	aabd9eff-bb1d-4784-8e8e-a752a68ec05d/00769a10-c498-4c02-b91b-ceff2e2a784a.methylation_array.sesame.level3betas.txt	a3abd9cb7ec8092edec54b0424f2b1a8	13203960	validated
c3ac890d-289e-4c6b-9370-22f4d16c5a73	c3ac890d-289e-4c6b-9370-22f4d16c5a73/a29dba4c-f00a-444e-a5ed-ebda546744e6.methylation_array.sesame.level3betas.txt	52b5ffb03aff916672f50656aaf09dcb	13191202	validated
c65adca8-377e-490e-84c9-27ef770857ae	c65adca8-377e-490e-84c9-27ef770857ae/91627f33-6272-4931-895e-2eecaa26c027.methylation_array.sesame.level3betas.txt	5f4b60a3e06a7511159f9ad08eebe0cd	13128035	validated
dc47d64a-95b8-42d7-a9e4-f459ae9ebf20	dc47d64a-95b8-42d7-a9e4-f459ae9ebf20/7687c687-7ca8-475f-b4aa-fedf58afbd09.methylation_array.sesame.level3betas.txt	c169105df035e02dd3513051c58987cd	13172520	validated
62bcd927-ab72-4389-9572-bb479f0114eb	62bcd927-ab72-4389-9572-bb479f0114eb/2ddbd500-d384-4326-9a9c-890f0a73c898.methylation_array.sesame.level3betas.txt	e524bda7952e33b33820a8431dee0de4	13175708	validated
7a185dea-b942-4849-8f5a-2831a5e74c3a	7a185dea-b942-4849-8f5a-2831a5e74c3a/d0b0cd0c-c1a6-4d70-98d2-5d1bbbecbaf7.methylation_array.sesame.level3betas.txt	2eeb5fe7cf39c19c9f65e6ef7a80b5e9	13205851	validated
5b70e7c6-886c-426d-9e4a-f31218ce9b06	5b70e7c6-886c-426d-9e4a-f31218ce9b06/7bf13ccb-6740-466e-a69a-01053a1798f3.methylation_array.sesame.level3betas.txt	8d3ac98ff576a81bbe6d0630955f29fe	13222833	validated
3c883737-bfbc-42ab-9366-db3d5a2dffc8	3c883737-bfbc-42ab-9366-db3d5a2dffc8/7f663ead-a8d1-465c-b017-e52200f8106b.methylation_array.sesame.level3betas.txt	1f1b03864c802cc96f0363d559b8b2cf	13133927	validated
f38941d4-5381-4462-9a9a-025ec9099b10	f38941d4-5381-4462-9a9a-025ec9099b10/bb36292a-7076-4717-9831-59befce8d979.methylation_array.sesame.level3betas.txt	f1add815ccaadc6b7c2f31ac136fc40b	13203598	validated
ba747760-40cf-473d-ba8b-873edf786877	ba747760-40cf-473d-ba8b-873edf786877/0041e0ab-20cd-4be1-936f-fc6c9864a5a3.methylation_array.sesame.level3betas.txt	dc0323ed16b056e23e1303366aa73eee	13226407	validated
ade45c05-8edd-4e1f-82d2-62444160c28d	ade45c05-8edd-4e1f-82d2-62444160c28d/e55831f7-b6a7-45d5-8e54-f4433b499ed8.methylation_array.sesame.level3betas.txt	157c1938852df73509db1717b9977302	13204223	validated
04b92979-fa46-47b2-be39-a1c5d3983970	04b92979-fa46-47b2-be39-a1c5d3983970/683adf30-cc9a-48d4-830b-583972ae4fc7.methylation_array.sesame.level3betas.txt	4386bbf16da71567cde70e4dfce89a62	13191353	validated
32f1c888-c6e8-4aa5-9450-03b4e58b5bfd	32f1c888-c6e8-4aa5-9450-03b4e58b5bfd/eac04a80-784a-434e-b16f-3f87547cf4c7.methylation_array.sesame.level3betas.txt	829b507969466d73f7cde5f06e7f6722	13222444	validated
60a008c9-3b68-4e85-8603-d98ebd61b3eb	60a008c9-3b68-4e85-8603-d98ebd61b3eb/9ddc16c3-b54b-414f-bcb9-90baabcb5dd6.methylation_array.sesame.level3betas.txt	d226e13ddd7a23bddae216eb0e46c5fb	13176300	validated
a6f64cba-b144-4e76-bd0c-ef2a93abb24e	a6f64cba-b144-4e76-bd0c-ef2a93abb24e/77b7a293-6bc7-445a-b5a0-2837a0ba98f2.methylation_array.sesame.level3betas.txt	3aaa87d425e4bbb5454d001a2b703f8f	13153327	validated
12758222-b94e-4982-b638-e985a50cdd56	12758222-b94e-4982-b638-e985a50cdd56/5d86f71c-0e88-42b5-afed-28f0985593eb.methylation_array.sesame.level3betas.txt	b554ef27f9d7c31f9159f63cf4d99abd	13191990	validated
cb97a35e-3fdc-49f2-80fd-10184224af9a	cb97a35e-3fdc-49f2-80fd-10184224af9a/bf28bfe6-694e-4e11-8ded-602f7ea15926.methylation_array.sesame.level3betas.txt	c72d62ab9035271742f5ee2d36e33669	13144741	validated
d2287a08-8389-4992-92ba-2be239996361	d2287a08-8389-4992-92ba-2be239996361/2e8e562a-d5f4-403f-8592-50161fd9c17f.methylation_array.sesame.level3betas.txt	7ca3acabe20c2f51c6a048986ec0ff7a	13187040	validated
d5a43977-d653-45c5-9a02-eecf234455c1	d5a43977-d653-45c5-9a02-eecf234455c1/ce232d77-90f5-460d-800d-269eb1d8f26f.methylation_array.sesame.level3betas.txt	d6f3644d86b7f44a37866ce2636b6903	13183656	validated
50d782cc-670d-47f3-805e-682007ddb044	50d782cc-670d-47f3-805e-682007ddb044/d839e400-4824-4cf3-9822-b4dd68bd1ce4.methylation_array.sesame.level3betas.txt	49b85783b989299a6934050037a43e3e	13172571	validated
f2ad401a-fa71-4cd4-b976-23458139f72d	f2ad401a-fa71-4cd4-b976-23458139f72d/07d52827-04b8-437b-be94-09f2a37a8679.methylation_array.sesame.level3betas.txt	9d8bd02751564fbf9e2d108d29ba32d6	13205895	validated
163ec1ed-ffad-4add-90df-fc6a1c4781ce	163ec1ed-ffad-4add-90df-fc6a1c4781ce/22d67125-32ea-47c0-b08e-1e3d9755f745.methylation_array.sesame.level3betas.txt	20029411288150998e6b9effc1f643c9	13166236	validated
0a0a3953-6b61-4162-8167-9f2d3f36023d	0a0a3953-6b61-4162-8167-9f2d3f36023d/ac497a47-7ea1-4a1b-a411-ed823db96e0c.methylation_array.sesame.level3betas.txt	fa309cc79bf11ddebd8ae25d67337763	13176108	validated
